category,filename,jitter,shimmer,HNR,nVB,perVB,med,mean,std,min,max,total_duration,speaking_rate,articulation_rate,PCT,PCC,PCV,vowel_space,VAI,FCR,F2,0,1,2,3,4,5,6,7,8,9,10,11,12
3,M0055_CS_1003,4.48,14.6,11,15,64.62,210.5,258.99,39.41,71.26,565.12,11.49,1.3,1.39,23.0769231,22.7272727,23.5294118,108749.2055,0.781803499,1.27909379,1.901262716,-809.89,57.01,12.41,25.6,3.7,8.22,3.74,0.58,3.14,1.23,0.33,1.08,4.24
3,M0055_CS_1004,6.26,20.71,8.83,11,51.22,238.43,331.05,62.64,72.33,611.83,10.27,2.04,2.14,8.5714286,4.7619048,14.2857143,108749.2055,0.781803499,1.27909379,1.901262716,-791.24,70.68,12.48,20.44,2.03,12.94,2.94,-0.98,2.8,1.74,3.14,1.35,2.52
3,M0062_CS_0001,1.9,6.21,18.44,15,35.94,272.37,252.54,32.24,78.16,621.54,15.92,1.07,1.13,19.047619,19.2307692,18.75,110663.4246,0.783925843,1.275630863,1.910627824,-651.75,120.02,-27.03,21.39,-15.11,-0.76,-6.43,-6.52,-3.86,-1.25,-2.77,-4.73,-6.06
3,M0062_CS_0002,2.13,7.66,17.24,14,37.19,265.06,248.31,27.14,76.43,453.19,12.9,1.01,1.09,17.0731707,16.6666667,17.6470588,110802.3246,0.783183061,1.27684069,1.907747167,-706.7,108.94,-9.68,16.43,-9.75,0.55,0.78,-5.07,-7.14,-3.23,-1.72,-2.15,-5.79
3,M0062_CS_0003,1.55,5.99,18.08,14,41.45,275.33,262.64,38.4,119.16,375.83,14.32,1.05,1.12,15.3846154,18.1818182,11.7647059,111577.2605,0.782781809,1.277495196,1.90707968,-671.39,111.41,-17.63,15.52,-23.43,2.66,-4.66,-6.55,-6.3,-0.54,-1.53,-5.49,-3.41
3,M0062_CS_0004,1.79,5.98,17.4,10,27.11,256.72,243.35,45.11,72.67,456.68,11.2,1.52,1.61,17.1428571,19.047619,14.2857143,111577.2605,0.782781809,1.277495196,1.90707968,-678.63,118.21,-14.9,8.41,-25.36,1.23,0.78,-4.62,-3.11,0.71,-1.19,-4.36,-3.06
3,M0062_CS_1001,2.72,8.1,15.01,15,55.33,233.85,219.99,44.42,78.3,387.01,16.28,0.92,0.98,14.2857143,19.2307692,6.25,111314.4695,0.782702811,1.277624133,1.906210879,-727.02,94.68,-7.84,18.36,-13.9,-3.98,-3.81,-7.48,-3.8,-2.94,-1.69,-4.26,-5.57
3,M0062_CS_1002,2.62,10.8,14.58,14,55.5,198.72,210.25,39.08,72.53,438.43,13.1,0.99,1.07,24.3902439,25,23.5294118,111399.5984,0.782159129,1.278512214,1.904941932,-723.5,97.61,-3.2,26.66,-10.6,-4.8,-0.16,-3.37,-4.33,-4.78,-1.19,-1.96,-6.68
3,M0062_CS_1003,1.93,8.35,17.03,10,56.23,203.08,210.5,47.76,72.52,432.29,15.04,1.26,1.33,35.8974359,31.8181818,41.1764706,111122.4689,0.781643925,1.279354918,1.904255836,-680.62,108.55,-12.94,19.86,-25.48,-1.44,-2.37,-5.86,-5.25,-1.12,-0.83,-4.49,-3.91
3,M0062_CS_1004,2.19,11.76,15.13,8,43.73,204.81,227.65,77.59,81.09,499.61,10.95,1.74,1.83,31.4285714,42.8571429,14.2857143,111122.4689,0.781643925,1.279354918,1.904255836,-673.93,112.97,-17.88,14.89,-27.53,0.41,-0.5,-6.7,-4.39,-0.85,0.37,-6.05,-3.24
3,F0065_CS_0001,2,8,15.06,9,44.62,211.04,225.5,61.46,109.75,441.94,11.62,1.46,1.55,4.7619048,3.8461538,6.25,149982.3699,0.811119251,1.23286434,2.016917119,-687.41,108.4,-22.31,13.3,-16.1,-0.7,-2.8,-9.32,-6.67,3.74,-4.41,-10.31,-1.2
3,F0065_CS_0002,3.89,12.44,11.37,16,57.75,203.9,194.31,75.2,76.88,387.97,16.65,0.78,0.84,4.8780488,8.3333333,0,149732.3078,0.809888599,1.234737717,2.011968358,-731.14,88.37,-13.61,22.23,-9.12,-4.16,2.26,-6.07,-6.16,-1.73,-5.61,-4.78,-1.79
3,F0065_CS_0003,2.18,9.2,16.27,13,56.56,199.74,208.1,31,74.08,457.79,18.55,0.92,0.97,2.5641026,4.5454545,0,149428.4057,0.807582151,1.238264118,2.003853497,-667.9,110.92,-22.59,16.07,-23.04,2.11,-0.88,-5.01,-7.33,-0.58,-5.48,-7.62,1.96
3,F0065_CS_0004,2.01,7.62,17.6,7,47.06,207.28,208.74,57.98,88.38,428.44,11.67,1.8,1.89,0,0,0,149428.4057,0.807582151,1.238264118,2.003853497,-682.88,110.08,-25.94,2.4,-20.72,2.44,0.68,0.03,-7.75,0.84,-3.28,-11.1,0.05
3,F0065_CS_1001,1.88,3.65,19.35,14,32.88,110.09,109.24,61.16,67.16,219.23,16.4,1.04,1.1,0,0,0,147070.6442,0.805624911,1.241272441,1.993177086,-667.11,109.44,-26.43,16.46,-18.05,2.69,-3.93,-8.09,-9.39,3.27,-5.34,-12.59,-1.5
3,F0065_CS_1002,2.22,5.56,16.4,5,30.33,106.7,109.52,77.91,72.9,221.04,10.12,0.49,0.59,2.4390244,4.1666667,0,145726.4045,0.8035707,1.244445572,1.988499578,-724.6,88.42,-15.68,16.3,-13.05,0.08,1.08,-6.94,-8.76,-0.38,-3.87,-5.13,-2.42
